['8', '7', '8', '16', '16', '-5', '11', '18', '3', '16', '-2', '-1', '7', '-13', '-3', '-7', '9', '2', '-8', '-2', '-7', '-2', '-3', '-4', '-16', '0']
['8', '7', '8', '16', '16', '-5', '11', '18', '3', '-1', '-2', '-1', '7', '-13', '-3', '-7', '9', '2', '-8', '-2', '-7', '-2', '-3', '-4', '-16', '0']
['8', '7', '8', '16', '16', '-5', '11', '18', '3', '-1', '-2', '-1', '7', '-13', '-3', '-7', '9', '2', '-8', '-2', '-7', '-2', '-3', '-4', '-16', '0']
['8', '7', '8', '16', '16', '-5', '11', '18', '3', '-1', '-2', '-1', '7', '-13', '-3', '-7', '9', '2', '-8', '-2', '-7', '-2', '-3', '-4', '-16', '-6']
['8', '7', '8', '16', '16', '-5', '11', '18', '3', '-1', '-2', '-1', '7', '-13', '-3', '-7', '9', '2', '-8', '-2', '-7', '-2', '-3', '-4', '-16', '-6']
['8', '7', '8', '16', '16', '-5', '11', '18', '3', '-1', '-2', '-1', '7', '-13', '-3', '-7', '9', '2', '-8', '-2', '-7', '-2', '-3', '-4', '-16', '-6']
['8', '7', '8', '16', '16', '-5', '11', '18', '3', '-1', '-2', '-1', '7', '-13', '-3', '-7', '9', '2', '-8', '-2', '-7', '-2', '-3', '-4', '-16', '-6']
['8', '7', '8', '16', '16', '-5', '11', '18', '3', '-1', '-2', '-1', '7', '-13', '-3', '-7', '9', '2', '-8', '-2', '-7', '-2', '-3', '-4', '-16', '-6']
['8', '7', '8', '16', '16', '-5', '11', '18', '3', '-1', '-2', '-1', '7', '-13', '-3', '-7', '9', '2', '-8', '-2', '-7', '-2', '-3', '-4', '-16', '-6']
['8', '7', '8', '16', '16', '-5', '11', '18', '3', '-1', '-2', '-1', '7', '-13', '-3', '-7', '9', '2', '-8', '-2', '-7', '-2', '-3', '-4', '-16', '-6']
